Cod_Centro,Cod_Titulacion,Titulacion,Año,Tasa_Rendimiento,Todo_aprobado_Rendimiento,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
6,162,Grado en Física,2018_2019,0.6623762376237624,16056,24240,0.29357798165137616,32,109
6,162,Grado en Física,2019_2020,0.6805555555555556,15582,22896,0.19658119658119658,23,117
6,162,Grado en Física,2020_2021,0.6192232055063913,15114,24408,0.32727272727272727,36,110
6,162,Grado en Física,2021_2022,0.6265682656826568,15282,24390,0.21929824561403508,25,114
6,162,Grado en Física,2022_2023,0.631762652705061,15204,24066,0.21568627450980393,22,102
6,162,Grado en Física,2023_2024,0.6639242084268262,15978,24066,0.29347826086956524,27,92
11,163,Grado en Fisioterapia,2017_2018,0.856480837851615,18482,21579,0.2079207920792079,21,101
11,163,Grado en Fisioterapia,2018_2019,0.865974025974026,18337,21175,0.24778761061946902,28,113
11,163,Grado en Fisioterapia,2019_2020,0.905859842143028,18937,20905,0.3391304347826087,39,115
11,163,Grado en Fisioterapia,2020_2021,0.8882933849436753,17900,20151,0.25,25,100
11,163,Grado en Fisioterapia,2021_2022,0.862248811167357,16863,19557,0.2,24,120
11,163,Grado en Fisioterapia,2022_2023,0.8534079819199754,16615,19469,0.34,34,100
11,163,Grado en Fisioterapia,2023_2024,0.8367725132725634,16707,19966,0.24166666666666667,29,120
4,164,Grado en Geografia y Gestión del Territorio,2017_2018,0.6556354916067146,8202,12510,0.1935483870967742,12,62
4,164,Grado en Geografia y Gestión del Territorio,2018_2019,0.6601887840088839,7134,10806,0.3,18,60
4,164,Grado en Geografia y Gestión del Territorio,2019_2020,0.7009287925696595,6792,9690,0.4098360655737705,25,61
4,164,Grado en Geografia y Gestión del Territorio,2020_2021,0.6787096774193548,6312,9300,0.3225806451612903,20,62
4,164,Grado en Geografia y Gestión del Territorio,2021_2022,0.6233685518955874,6018,9654,0.4318181818181818,19,44
4,164,Grado en Geografía y Gestión del Territorio,2022_2023,0.658952496954933,6492,9852,0.3548387096774194,11,31
4,164,Grado en Geografía y Gestión del Territorio,2023_2024,0.6617250673854448,5892,8904,0.5,25,50
4,166,Grado en Historia,2017_2018,0.65044121833191,27420,42156,0.27717391304347827,51,184
4,166,Grado en Historia,2018_2019,0.6462839711591791,27966,43272,0.3351063829787234,63,188
4,166,Grado en Historia,2019_2020,0.7391304347826086,33150,44850,0.20588235294117646,35,170
4,166,Grado en Historia,2020_2021,0.6691801480669043,29286,43764,0.30357142857142855,51,168
4,166,Grado en Historia,2021_2022,0.628755659212512,27498,43734,0.2222222222222222,40,180
4,166,Grado en Historia,2022_2023,0.6415679639029893,27300,42552,0.26136363636363635,46,176
4,166,Grado en Historia,2023_2024,0.6566112207499295,27948,42564,0.25287356321839083,44,174
4,167,Grado en Historia del Arte,2017_2018,0.6196477376252657,24486,39516,0.43548387096774194,81,186
4,167,Grado en Historia del Arte,2018_2019,0.6303666562206205,24138,38292,0.42934782608695654,79,184
4,167,Grado en Historia del Arte,2019_2020,0.7186009538950715,27120,37740,0.358695652173913,66,184
4,167,Grado en Historia del Arte,2020_2021,0.6430538555691554,25218,39216,0.41040462427745666,71,173
4,167,Grado en Historia del Arte,2021_2022,0.5954394442766536,23658,39732,0.36470588235294116,62,170
4,167,Grado en Historia del Arte,2022_2023,0.5565134099616859,20916,37584,0.3977272727272727,70,176
4,167,Grado en Historia del Arte,2023_2024,0.5846334507632948,20910,35766,0.34594594594594597,64,185
17,171,Grado en Matemáticas,2017_2018,0.6471074380165289,18792,29040,0.3533834586466165,47,133
17,171,Grado en Matemáticas,2018_2019,0.6341897233201581,19254,30360,0.2647058823529412,36,136
17,171,Grado en Matemáticas,2019_2020,0.7228385279098433,24630,34074,0.20945945945945946,31,148
17,171,Grado en Matemáticas,2020_2021,0.6278841433480609,23022,36666,0.2413793103448276,35,145
17,171,Grado en Matemáticas,2021_2022,0.6769792162462319,25602,37818,0.13013698630136986,19,146
17,171,Grado en Matemáticas,2022_2023,0.6664112779650628,26094,39156,0.21774193548387097,27,124
17,171,Grado en Matemáticas,2023_2024,0.6949745083758194,28626,41190,0.20588235294117646,28,136
18,174,Grado en Pedagogía,2017_2018,0.9119674185463659,34932,38304,0.14285714285714285,30,210
18,174,Grado en Pedagogía,2018_2019,0.9046534331272372,33360,36876,0.13142857142857142,23,175
18,174,Grado en Pedagogía,2019_2020,0.9296490930666215,32904,35394,0.1,15,150
18,174,Grado en Pedagogía,2020_2021,0.9294178258629573,32472,34938,0.15384615384615385,24,156
18,174,Grado en Pedagogía,2021_2022,0.8997424892703862,31446,34950,0.07894736842105263,12,152
18,174,Grado en Pedagogía,2022_2023,0.8984375,30360,33792,0.1503267973856209,23,153
18,174,Grado en Pedagogía,2023_2024,0.931735278791037,32184,34542,0.12418300653594772,19,153
11,175,Grado en Podología,2017_2018,0.7673003802281368,12108,15780,0.20588235294117646,14,68
11,175,Grado en Podología,2018_2019,0.7864854058376649,11802,15006,0.25316455696202533,20,79
11,175,Grado en Podología,2019_2020,0.8239520958083832,12384,15030,0.34285714285714286,24,70
11,175,Grado en Podología,2020_2021,0.8191318327974276,12228,14928,0.21428571428571427,15,70
11,175,Grado en Podología,2021_2022,0.78340825500613,11502,14682,0.32857142857142857,23,70
11,175,Grado en Podología,2022_2023,0.7744079767345243,11184,14442,0.36619718309859156,26,71
11,175,Grado en Podología,2023_2024,0.7944785276073619,10878,13692,0.2608695652173913,18,69
13,176,Grado en Psicología,2017_2018,0.8580718122702855,54630,63666,0.10452961672473868,30,287
13,176,Grado en Psicología,2018_2019,0.858826884684856,54204,63114,0.13011152416356878,35,269
13,176,Grado en Psicología,2019_2020,0.8914684786711967,56676,63576,0.1412639405204461,38,269
13,176,Grado en Psicología,2020_2021,0.8864612853094432,58182,65634,0.13307984790874525,35,263
13,176,Grado en Psicología,2021_2022,0.8557292148339961,55518,64878,0.14232209737827714,38,267
13,176,Grado en Psicología,2022_2023,0.8574302697759488,56256,65610,0.10357142857142858,29,280
13,176,Grado en Psicología,2023_2024,0.8743786714866697,58050,66390,0.148014440433213,41,277
22,177,Grado en Química,2017_2018,0.6092341910495839,23830,39115,0.22448979591836735,33,147
22,177,Grado en Química,2018_2019,0.6256475192816853,24457,39091,0.2662337662337662,41,154
22,177,Grado en Química,2019_2020,0.7099938687921521,26055,36697,0.38311688311688313,59,154
22,177,Grado en Química,2020_2021,0.5650461538461539,20659,36562,0.2866666666666667,43,150
22,177,Grado en Química,2021_2022,0.6022139921045134,22195,36856,0.1917808219178082,28,146
22,177,Grado en Química,2022_2023,0.5990535512053066,22216,37086,0.2971014492753623,41,138
22,177,Grado en Química,2023_2024,0.6271873494943009,23440,37374,0.2391304347826087,33,138
8,178,Grado en Relaciones Laborales y Recursos Humanos,2017_2018,0.6581993569131833,36846,55980,0.20087336244541484,46,229
8,178,Grado en Relaciones Laborales y Recursos Humanos,2018_2019,0.6305023026668095,35322,56022,0.2556053811659193,57,223
8,178,Grado en Relaciones Laborales y Recursos Humanos,2019_2020,0.7413887370147622,40680,54870,0.2318181818181818,51,220
8,178,Grado en Relaciones Laborales y Recursos Humanos,2020_2021,0.7000730003128585,40278,57534,0.22321428571428573,50,224
8,178,Grado en Relaciones Laborales y Recursos Humanos,2021_2022,0.5955476958285655,34350,57678,0.20361990950226244,45,221
8,178,Grado en Relaciones Laborales y Recursos Humanos,2022_2023,0.6060958831622394,34362,56694,0.25327510917030566,58,229
8,178,Grado en Relaciones Laborales y Recursos Humanos,2023_2024,0.6274468753271224,35964,57318,0.19004524886877827,42,221
7,179,Grado en Turismo,2017_2018,0.6484934243382721,46746,72084,0.27976190476190477,94,336
7,179,Grado en Turismo,2018_2019,0.6513664101883789,44190,67842,0.2588996763754045,80,309
7,179,Grado en Turismo,2019_2020,0.720328917313842,47304,65670,0.26936026936026936,80,297
7,179,Grado en Turismo,2020_2021,0.6821078664510606,43026,63078,0.32142857142857145,90,280
7,179,Grado en Turismo,2021_2022,0.5993550987505039,35688,59544,0.3020833333333333,87,288
7,179,Grado en Turismo,2022_2023,0.6040515653775322,31488,52128,0.35507246376811596,98,276
7,179,Grado en Turismo,2023_2024,0.6096895700740356,28164,46194,0.30633802816901406,87,284
1,180,Grado en Marketing e Investigación de Mercados,2017_2018,0.6892633228840125,21108,30624,0.3106060606060606,41,132
1,180,Grado en Marketing e Investigación de Mercados,2018_2019,0.7105729474305966,21654,30474,0.30708661417322836,39,127
1,180,Grado en Marketing e Investigación de Mercados,2019_2020,0.8114419147694104,25020,30834,0.34615384615384615,45,130
1,180,Grado en Marketing e Investigación de Mercados,2020_2021,0.7586206896551724,23496,30972,0.2366412213740458,31,131
1,180,Grado en Marketing e Investigación de Mercados,2021_2022,0.7419833178869324,24018,32370,0.2846715328467153,39,137
1,180,Grado en Marketing e Investigación de Mercados,2022_2023,0.765406427221172,24294,31740,0.20610687022900764,27,131
1,180,Grado en Marketing e Investigación de Mercados,2023_2024,0.8027129463395173,24144,30078,0.16176470588235295,22,136
16,181,Grado en Estudios Árabes e Islámicos,2017_2018,0.6537530266343826,3240,4956,0.5277777777777778,19,36
16,181,Grado en Estudios Árabes e Islámicos,2018_2019,0.6290726817042607,3012,4788,0.5517241379310345,16,29
16,181,Grado en Estudios Árabes e Islámicos,2019_2020,0.7734177215189874,3666,4740,0.45454545454545453,10,22
16,181,Grado en Estudios Árabes e Islámicos,2020_2021,0.7008426966292135,2994,4272,0.25,6,24
16,181,Grado en Estudios Árabes e Islámicos,2021_2022,0.5785953177257525,2076,3588,0.3333333333333333,6,18
16,181,Grado en Estudios Árabes e Islámicos,2022_2023,0.6825726141078838,1974,2892,0.47619047619047616,10,21
16,181,Grado en Estudios Árabes e Islámicos,2023_2024,0.5595854922279793,1296,2316,0.4166666666666667,10,24
16,182,Grado en Estudios Franceses,2017_2018,0.6023150062009095,8742,14514,0.4,28,70
16,182,Grado en Estudios Franceses,2018_2019,0.5961376994122586,8520,14292,0.44776119402985076,30,67
16,182,Grado en Estudios Franceses,2019_2020,0.7344841759145089,10722,14598,0.4918032786885246,30,61
16,182,Grado en Estudios Franceses,2020_2021,0.676731078904992,10086,14904,0.36619718309859156,26,71
16,182,Grado en Estudios Franceses,2021_2022,0.5731277533039647,7806,13620,0.3108108108108108,23,74
16,182,Grado en Estudios Franceses,2022_2023,0.5984962406015037,7164,11970,0.4117647058823529,28,68
16,182,Grado en Estudios Franceses,2023_2024,0.5574812247255921,5790,10386,0.3384615384615385,22,65
16,183,Grado en Estudios Ingleses,2017_2018,0.6702655383717537,27564,41124,0.3157894736842105,54,171
16,183,Grado en Estudios Ingleses,2018_2019,0.6920451172454735,27978,40428,0.33714285714285713,59,175
16,183,Grado en Estudios Ingleses,2019_2020,0.7997533528595653,31128,38922,0.1839080459770115,32,174
16,183,Grado en Estudios Ingleses,2020_2021,0.7104820198928845,27858,39210,0.2585034013605442,38,147
16,183,Grado en Estudios Ingleses,2021_2022,0.6657364341085271,25764,38700,0.2602739726027397,38,146
16,183,Grado en Estudios Ingleses,2022_2023,0.6959578207381371,26136,37554,0.18064516129032257,28,155
16,183,Grado en Estudios Ingleses,2023_2024,0.6822134387351778,25890,37950,0.23129251700680273,34,147
16,184,Grado en Filología Clásica,2017_2018,0.6888185654008439,3918,5688,0.6875,22,32
16,184,Grado en Filología Clásica,2018_2019,0.6503006012024048,3894,5988,0.5405405405405406,20,37
16,184,Grado en Filología Clásica,2019_2020,0.7214137214137214,4164,5772,0.4883720930232558,21,43
16,184,Grado en Filología Clásica,2020_2021,0.6485998193315267,4308,6642,0.5348837209302325,23,43
16,184,Grado en Filología Clásica,2021_2022,0.6506329113924051,4626,7110,0.55,22,40
16,184,Grado en Filología Clásica,2022_2023,0.6906854130052724,4716,6828,0.6764705882352942,23,34
16,184,Grado en Filología Clásica,2023_2024,0.6509207365892714,4878,7494,0.4358974358974359,17,39
16,185,Grado en Lengua y Literatura Alemanas,2017_2018,0.6586084905660378,6702,10176,0.3,18,60
16,185,Grado en Lengua y Literatura Alemanas,2018_2019,0.6299711815561959,6558,10410,0.3157894736842105,18,57
16,185,Grado en Lengua y Literatura Alemanas,2019_2020,0.7568013190436933,5508,7278,0.26666666666666666,12,45
16,185,Grado en Lengua y Literatura Alemanas,2020_2021,0.7109458023379384,4014,5646,0.40816326530612246,20,49
16,185,Grado en Lengua y Literatura Alemanas,2021_2022,0.6253196930946292,2934,4692,0.32432432432432434,12,37
16,185,Grado en Lengua y Literatura Alemanas,2022_2023,0.6485507246376812,2148,3312,0.5,23,46
16,185,Grado en Lengua y Literatura Alemanas,2023_2024,0.6303501945525292,1944,3084,0.47619047619047616,10,21
4,188,Grado en Antropología Social y Cultural,2017_2018,0.6515434985968195,8358,12828,0.5,32,64
4,188,Grado en Antropología Social y Cultural,2018_2019,0.6546463245492372,8496,12978,0.3548387096774194,22,62
4,188,Grado en Antropología Social y Cultural,2019_2020,0.6922707633221316,8652,12498,0.43103448275862066,25,58
4,188,Grado en Antropología Social y Cultural,2020_2021,0.6462128475551294,8088,12516,0.31746031746031744,20,63
4,188,Grado en Antropología Social y Cultural,2021_2022,0.6169491525423729,5460,8850,0.4107142857142857,23,56
4,188,Grado en Antropología Social y Cultural,2022_2023,0.6108786610878661,3504,5736,0.5666666666666667,34,60
4,188,Grado en Antropología Social y Cultural,2023_2024,0.5031645569620253,1908,3792,0.5806451612903226,36,62
21,190,Grado en Bellas Artes,2017_2018,0.8694584837545126,36126,41550,0.14444444444444443,26,180
21,190,Grado en Bellas Artes,2018_2019,0.8467443844185385,35736,42204,0.1891891891891892,35,185
21,190,Grado en Bellas Artes,2019_2020,0.8724482193413798,35130,40266,0.17613636363636365,31,176
21,190,Grado en Bellas Artes,2020_2021,0.8774457758228424,34710,39558,0.17297297297297298,32,185
21,190,Grado en Bellas Artes,2021_2022,0.8629832617390016,34956,40506,0.15254237288135594,27,177
21,190,Grado en Bellas Artes,2022_2023,0.8724004753416518,35238,40392,0.21311475409836064,39,183
21,190,Grado en Bellas Artes,2023_2024,0.8822510822510823,36684,41580,0.22282608695652173,41,184
2,192,Grado en Comunicación Audiovisual,2017_2018,0.8522918773171554,30345,35604,0.09219858156028368,13,141
2,192,Grado en Comunicación Audiovisual,2018_2019,0.8760438840674636,32100,36642,0.1,15,150
2,192,Grado en Comunicación Audiovisual,2019_2020,0.9130215343203231,32562,35664,0.10759493670886076,17,158
2,192,Grado en Comunicación Audiovisual,2020_2021,0.9166522566142141,31806,34698,0.12337662337662338,19,154
2,192,Grado en Comunicación Audiovisual,2021_2022,0.8978167501789549,30102,33528,0.0783132530120482,13,166
2,192,Grado en Comunicación Audiovisual,2022_2023,0.878749433620299,29091,33105,0.1610738255033557,24,149
2,192,Grado en Comunicación Audiovisual,2023_2024,0.8813871979339605,28668,32526,0.1503267973856209,23,153
21,193,Grado en Conservación y Restauración de Bienes Culturales,2017_2018,0.820137299771167,10752,13110,0.27419354838709675,17,62
21,193,Grado en Conservación y Restauración de Bienes Culturales,2018_2019,0.8323900740095778,11472,13782,0.2318840579710145,16,69
21,193,Grado en Conservación y Restauración de Bienes Culturales,2019_2020,0.8506224066390041,11070,13014,0.15254237288135594,9,59
21,193,Grado en Conservación y Restauración de Bienes Culturales,2020_2021,0.8662900188323918,11040,12744,0.3114754098360656,19,61
21,193,Grado en Conservación y Restauración de Bienes Culturales,2021_2022,0.8431183830606352,10512,12468,0.19047619047619047,12,63
21,193,Grado en Conservación y Restauración de Bienes Culturales,2022_2023,0.8517776664997496,10206,11982,0.3548387096774194,22,62
21,193,Grado en Conservación y Restauración de Bienes Culturales,2023_2024,0.8374064837905237,10074,12030,0.29508196721311475,18,61
18,194,Grado en Educación Infantil,2017_2018,0.9620758483033932,38560,40080,0.07142857142857142,17,238
18,194,Grado en Educación Infantil,2018_2019,0.9654681905135626,39366,40774,0.056818181818181816,10,176
18,194,Grado en Educación Infantil,2019_2020,0.9812732202028316,39090,39836,0.08241758241758242,15,182
18,194,Grado en Educación Infantil,2020_2021,0.9823578554228709,39980,40698,0.02717391304347826,5,184
18,194,Grado en Educación Infantil,2021_2022,0.9772371255140004,39926,40856,0.04918032786885246,9,183
18,194,Grado en Educación Infantil,2022_2023,0.9775993656457528,39452,40356,0.05,9,180
18,194,Grado en Educación Infantil,2023_2024,0.9722032908188103,39942,41084,0.043478260869565216,8,184
18,195,Grado en Educación Primaria,2017_2018,0.8640737724660786,113004,130780,0.13070866141732285,83,635
18,195,Grado en Educación Primaria,2018_2019,0.8598462808094407,113047,131473,0.13333333333333333,76,570
18,195,Grado en Educación Primaria,2019_2020,0.9361361530036229,122221,130559,0.10805860805860806,59,546
18,195,Grado en Educación Primaria,2020_2021,0.9140592864781858,116665,127634,0.0703125,36,512
18,195,Grado en Educación Primaria,2021_2022,0.8888988083685906,114503,128815,0.10687022900763359,56,524
18,195,Grado en Educación Primaria,2022_2023,0.9035423610572824,116566,129010,0.0854368932038835,44,515
18,195,Grado en Educación Primaria,2023_2024,0.8975158037820951,116209,129478,0.08269230769230769,43,520
45,197,Grado en Ingeniería Aeroespacial,2017_2018,0.6626472349770414,24894,37567,0.16296296296296298,22,135
45,197,Grado en Ingeniería Aeroespacial,2018_2019,0.6469816272965879,24403,37719,0.15503875968992248,20,129
45,197,Grado en Ingeniería Aeroespacial,2019_2020,0.7080030840400925,34435,48637,0.1796875,23,128
45,197,Grado en Ingeniería Aeroespacial,2020_2021,0.6593835506196685,24580,37278,0.15503875968992248,20,129
45,197,Grado en Ingeniería Aeroespacial,2021_2022,0.6413161182840483,23097,36015,0.1015625,13,128
45,197,Grado en Ingeniería Aeroespacial,2022_2023,0.6540928919681807,22941,35073,0.17391304347826086,24,138
45,197,Grado en Ingeniería Aeroespacial,2023_2024,0.6718904244817374,24502,36468,0.19047619047619047,24,126
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2017_2018,0.573162583518931,23161,40410,0.34972677595628415,64,183
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2018_2019,0.5184111563773112,19851,38292,0.39869281045751637,61,153
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2019_2020,0.5612576797976148,23295,41505,0.2765957446808511,39,141
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2020_2021,0.5409408746741694,19611,36253,0.24603174603174602,31,126
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2021_2022,0.4895498727629219,17602,35956,0.3359375,43,128
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2022_2023,0.5261719283859505,17325,32926,0.4117647058823529,56,136
45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,2023_2024,0.5055621409683596,16633,32901,0.2692307692307692,35,130
23,200,Grado en Ingeniería Eléctrica,2017_2018,0.4730960264900662,6858,14496,0.29545454545454547,39,132
23,200,Grado en Ingeniería Eléctrica,2018_2019,0.5054191550541915,6855,13563,0.31496062992125984,40,127
23,200,Grado en Ingeniería Eléctrica,2019_2020,0.5666967102298333,7545,13314,0.36666666666666664,33,90
23,200,Grado en Ingeniería Eléctrica,2020_2021,0.44123192960402263,6318,14319,0.49295774647887325,35,71
23,200,Grado en Ingeniería Eléctrica,2021_2022,0.3720218579234973,5106,13725,0.5694444444444444,41,72
23,200,Grado en Ingeniería Eléctrica,2022_2023,0.4271000228885328,5598,13107,0.5645161290322581,35,62
23,200,Grado en Ingeniería Eléctrica,2023_2024,0.45618827484765706,6513,14277,0.4782608695652174,33,69
23,201,Grado en Ingeniería Electrónica Industrial,2017_2018,0.4673699705593719,11430,24456,0.40437158469945356,74,183
23,201,Grado en Ingeniería Electrónica Industrial,2018_2019,0.4818159628996827,11844,24582,0.35555555555555557,64,180
23,201,Grado en Ingeniería Electrónica Industrial,2019_2020,0.543319019954534,12906,23754,0.4496124031007752,58,129
23,201,Grado en Ingeniería Electrónica Industrial,2020_2021,0.4271981242672919,10932,25590,0.5925925925925926,64,108
23,201,Grado en Ingeniería Electrónica Industrial,2021_2022,0.3632583170254403,8910,24528,0.43103448275862066,50,116
23,201,Grado en Ingeniería Electrónica Industrial,2022_2023,0.36047745358090183,8154,22620,0.4722222222222222,51,108
23,201,Grado en Ingeniería Electrónica Industrial,2023_2024,0.398757120662869,9240,23172,0.5225225225225225,58,111
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2017_2018,0.5867914532933074,19938,33978,0.3006993006993007,43,143
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2018_2019,0.601842012043925,20388,33876,0.2597402597402597,40,154
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2019_2020,0.6975561006632143,23034,33021,0.23076923076923078,33,143
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2020_2021,0.6534508076358296,21360,32688,0.21929824561403508,25,114
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2021_2022,0.5602803295766644,17748,31677,0.2066115702479339,25,121
23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,2022_2023,0.571526084836665,17583,30765,0.211864406779661,25,118
